graph_name,num_nodes,num_edges,graph_density,mean_degree,median_degree,degree_std,iqr_degree,degree_amd,node_connectivity,average_clustering,adjacency_matrix_rank,incidence_matrix_rank,laplacian_matrix_rank,bethe_hessian_matrix_rank,modularity_matrix_rank,wiener_index,is_AT_free,has_bridge,is_chordal,clique_number,transitivity,edge_connectivity,node_connectivity,is_distance_regular,local_efficiency,global_efficiency,is_eulerian,is_semi_eulerian
randomRegular_100_5_26.adjlist,100,250,0.050505050505050504,5.0,5.0,0,0.0,0.0,5,0.045000000000000026,1,1,1,1,99,15213.0,False,False,False,3,0.045,5,5,False,0.04833333333333336,0.3677643097643295,False,False
fastGnp_100_0.2_24.adjlist,100,957,0.19333333333333333,19.14,19.0,16.4804,7.0,3.3224000000000005,9,0.19371982400057822,1,1,1,1,99,9051.0,False,False,False,5,0.19302683677958646,9,9,False,0.4874351394816955,0.5930303030303017,False,False
randomRegular_20_4_7.adjlist,20,40,0.21052631578947367,4.0,4.0,0,0.0,0.0,4,0.075,1,1,1,1,19,413.0,False,False,False,3,0.075,4,4,False,0.075,0.5429824561403517,True,False
randomRegular_20_4_12.adjlist,20,40,0.21052631578947367,4.0,4.0,0,0.0,0.0,4,0.12500000000000003,1,1,1,1,19,418.0,False,False,False,3,0.125,4,4,False,0.13333333333333333,0.5399122807017551,True,False
randomRegular_1000_4_20.adjlist,1000,2000,0.004004004004004004,4.0,4.0,0,0.0,0.0,4,0.002999999999999999,1,1,1,1,999,2815705.0,False,False,False,3,0.003,4,4,False,0.002999999999999999,0.1901735417963423,True,False
fastGnp_1000_0.2_29.adjlist,1000,54590,0.10928928928928928,109.18,70.0,4026.2696,127.0,58.96756,42,0.17053222931465412,1,1,1,1,657,944411.0,False,False,False,7,0.1260747844243252,42,42,False,0.5749371223973866,0.5546443109776442,False,False
randomRegular_20_4_24.adjlist,20,40,0.21052631578947367,4.0,4.0,0,0.0,0.0,4,0.14999999999999997,1,1,1,1,19,405.0,False,False,False,3,0.15,4,4,False,0.15833333333333333,0.5500000000000009,True,False
randomRegular_1000_4_16.adjlist,1000,2000,0.004004004004004004,4.0,4.0,0,0.0,0.0,4,0.002,1,1,1,1,999,2811379.0,False,False,False,3,0.002,4,4,False,0.002,0.19044270937661745,True,False
randomRegular_20_3_3.adjlist,20,30,0.15789473684210525,3.0,3.0,0,0.0,0.0,3,0.15,1,1,1,1,19,509.0,False,False,False,3,0.15,3,3,False,0.15,0.46157894736842164,False,False
randomRegular_100_5_10.adjlist,100,250,0.050505050505050504,5.0,5.0,0,0.0,0.0,5,0.018000000000000002,1,1,1,1,99,15097.0,False,False,False,3,0.018,5,5,False,0.019000000000000003,0.3701481481481687,False,False
fastGnp_100_0.2_12.adjlist,100,993,0.2006060606060606,19.86,19.5,15.760399999999999,6.0,3.2399999999999993,11,0.2001912833735017,1,1,1,1,99,8968.0,False,False,False,5,0.1987599918015987,11,11,False,0.5128087816529191,0.5982491582491575,False,False
randomRegular_1000_4_12.adjlist,1000,2000,0.004004004004004004,4.0,4.0,0,0.0,0.0,4,0.002999999999999999,1,1,1,1,999,2814095.0,False,False,False,3,0.003,4,4,False,0.002999999999999999,0.19026692247861257,True,False
randomRegular_20_3_7.adjlist,20,30,0.15789473684210525,3.0,3.0,0,0.0,0.0,3,0.0,1,1,1,1,19,472.0,False,False,False,2,0.0,3,3,False,0.0,0.48157894736842183,False,False
