,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_time
315,random_allocation,7,0.06,0.14,7.361173629760742e-05
316,random_allocation,7,0.07,0.14,6.738901138305664e-05
317,random_allocation,7,0.08,0.14,8.412599563598633e-05
318,random_allocation,7,0.09,0.14,7.807016372680664e-05
319,random_allocation,7,0.1,0.14,7.703304290771485e-05
320,random_allocation,7,0.01,0.15,7.00831413269043e-05
321,random_allocation,7,0.02,0.15,6.941556930541992e-05
322,random_allocation,7,0.03,0.15,6.860494613647461e-05
323,random_allocation,7,0.04,0.15,7.601976394653321e-05
324,random_allocation,7,0.05,0.15,6.737709045410157e-05
325,random_allocation,7,0.06,0.15,6.517171859741211e-05
326,random_allocation,7,0.07,0.15,6.279945373535156e-05
327,random_allocation,7,0.08,0.15,6.368160247802735e-05
328,random_allocation,7,0.09,0.15,6.443262100219727e-05
329,random_allocation,7,0.1,0.15,6.574392318725586e-05
330,random_allocation,8,0.01,0.05,9.717941284179688e-05
331,random_allocation,8,0.02,0.05,9.09566879272461e-05
332,random_allocation,8,0.03,0.05,0.00010044574737548828
333,random_allocation,8,0.04,0.05,9.646415710449219e-05
334,random_allocation,8,0.05,0.05,9.347200393676758e-05
335,random_allocation,8,0.06,0.05,9.866952896118165e-05
336,random_allocation,8,0.07,0.05,9.349584579467773e-05
337,random_allocation,8,0.08,0.05,9.586811065673829e-05
338,random_allocation,8,0.09,0.05,9.104013442993165e-05
339,random_allocation,8,0.1,0.05,0.00010082721710205078
340,random_allocation,8,0.01,0.06,9.543895721435547e-05
341,random_allocation,8,0.02,0.06,8.622407913208007e-05
342,random_allocation,8,0.03,0.06,8.569955825805664e-05
343,random_allocation,8,0.04,0.06,8.616447448730468e-05
344,random_allocation,8,0.05,0.06,8.555650711059571e-05
345,random_allocation,8,0.06,0.06,0.00010578632354736328
346,random_allocation,8,0.07,0.06,9.760856628417968e-05
347,random_allocation,8,0.08,0.06,9.216070175170899e-05
348,random_allocation,8,0.09,0.06,9.428262710571289e-05
349,random_allocation,8,0.1,0.06,8.009672164916992e-05
350,random_allocation,8,0.01,0.07,8.671283721923828e-05
351,random_allocation,8,0.02,0.07,9.963512420654296e-05
352,random_allocation,8,0.03,0.07,9.982585906982422e-05
353,random_allocation,8,0.04,0.07,0.00011233091354370117
354,random_allocation,8,0.05,0.07,9.641647338867187e-05
355,random_allocation,8,0.06,0.07,0.00010275840759277344
356,random_allocation,8,0.07,0.07,8.472204208374024e-05
357,random_allocation,8,0.08,0.07,9.522438049316406e-05
358,random_allocation,8,0.09,0.07,8.976459503173828e-05
359,random_allocation,8,0.1,0.07,9.627342224121094e-05
360,random_allocation,8,0.01,0.08,8.941888809204102e-05
361,random_allocation,8,0.02,0.08,9.11712646484375e-05
362,random_allocation,8,0.03,0.08,9.876489639282227e-05
363,random_allocation,8,0.04,0.08,8.913278579711915e-05
364,random_allocation,8,0.05,0.08,9.766817092895507e-05
365,random_allocation,8,0.06,0.08,8.88824462890625e-05
366,random_allocation,8,0.07,0.08,9.388923645019532e-05
367,random_allocation,8,0.08,0.08,8.671283721923828e-05
368,random_allocation,8,0.09,0.08,9.828805923461914e-05
369,random_allocation,8,0.1,0.08,9.665489196777343e-05
370,random_allocation,8,0.01,0.09,8.652210235595703e-05
371,random_allocation,8,0.02,0.09,9.855031967163086e-05
372,random_allocation,8,0.03,0.09,9.850263595581054e-05
373,random_allocation,8,0.04,0.09,8.836984634399414e-05
374,random_allocation,8,0.05,0.09,9.007453918457032e-05
375,random_allocation,8,0.06,0.09,0.00010062456130981446
376,random_allocation,8,0.07,0.09,9.715557098388672e-05
377,random_allocation,8,0.08,0.09,9.636878967285156e-05
378,random_allocation,8,0.09,0.09,9.108781814575196e-05
379,random_allocation,8,0.1,0.09,8.821487426757812e-05
380,random_allocation,8,0.01,0.1,9.473562240600586e-05
381,random_allocation,8,0.02,0.1,9.530782699584961e-05
382,random_allocation,8,0.03,0.1,8.965730667114258e-05
383,random_allocation,8,0.04,0.1,8.827447891235352e-05
384,random_allocation,8,0.05,0.1,9.26971435546875e-05
385,random_allocation,8,0.06,0.1,9.074211120605469e-05
386,random_allocation,8,0.07,0.1,9.472370147705078e-05
387,random_allocation,8,0.08,0.1,9.082555770874023e-05
388,random_allocation,8,0.09,0.1,9.593963623046874e-05
389,random_allocation,8,0.1,0.1,8.792877197265625e-05
390,random_allocation,8,0.01,0.11,8.963346481323242e-05
391,random_allocation,8,0.02,0.11,8.779764175415039e-05
392,random_allocation,8,0.03,0.11,9.849071502685547e-05
393,random_allocation,8,0.04,0.11,0.0001074671745300293
394,random_allocation,8,0.05,0.11,8.7738037109375e-05
395,random_allocation,8,0.06,0.11,9.46640968322754e-05
396,random_allocation,8,0.07,0.11,8.438825607299804e-05
397,random_allocation,8,0.08,0.11,9.529590606689453e-05
398,random_allocation,8,0.09,0.11,9.238719940185547e-05
399,random_allocation,8,0.1,0.11,0.00011020898818969727
400,random_allocation,8,0.01,0.12,0.00010389089584350586
401,random_allocation,8,0.02,0.12,9.413957595825196e-05
402,random_allocation,8,0.03,0.12,9.22560691833496e-05
403,random_allocation,8,0.04,0.12,9.669065475463867e-05
404,random_allocation,8,0.05,0.12,9.412765502929688e-05
405,random_allocation,8,0.06,0.12,9.478330612182617e-05
406,random_allocation,8,0.07,0.12,9.326934814453125e-05
407,random_allocation,8,0.08,0.12,9.391307830810546e-05
408,random_allocation,8,0.09,0.12,9.989738464355469e-05
409,random_allocation,8,0.1,0.12,0.00010361671447753907
410,random_allocation,8,0.01,0.13,7.359981536865234e-05
411,random_allocation,8,0.02,0.13,6.948709487915039e-05
412,random_allocation,8,0.03,0.13,8.304119110107422e-05
413,random_allocation,8,0.04,0.13,7.724761962890625e-05
414,random_allocation,8,0.05,0.13,8.952617645263672e-05
415,random_allocation,8,0.06,0.13,7.621049880981445e-05
416,random_allocation,8,0.07,0.13,7.886886596679688e-05
417,random_allocation,8,0.08,0.13,7.857084274291992e-05
418,random_allocation,8,0.09,0.13,7.424354553222656e-05
419,random_allocation,8,0.1,0.13,7.126331329345703e-05
420,random_allocation,8,0.01,0.14,0.04162188768386841
421,random_allocation,8,0.02,0.14,8.19087028503418e-05
422,random_allocation,8,0.03,0.14,8.682012557983398e-05
423,random_allocation,8,0.04,0.14,9.13381576538086e-05
424,random_allocation,8,0.05,0.14,7.169246673583984e-05
425,random_allocation,8,0.06,0.14,7.697343826293946e-05
426,random_allocation,8,0.07,0.14,8.645057678222657e-05
427,random_allocation,8,0.08,0.14,7.4005126953125e-05
428,random_allocation,8,0.09,0.14,8.612871170043945e-05
429,random_allocation,8,0.1,0.14,7.597208023071289e-05
430,random_allocation,8,0.01,0.15,9.903907775878906e-05
431,random_allocation,8,0.02,0.15,9.10639762878418e-05
432,random_allocation,8,0.03,0.15,7.71641731262207e-05
433,random_allocation,8,0.04,0.15,7.979869842529297e-05
434,random_allocation,8,0.05,0.15,8.356571197509766e-05
435,random_allocation,8,0.06,0.15,7.505416870117188e-05
436,random_allocation,8,0.07,0.15,7.925033569335937e-05
437,random_allocation,8,0.08,0.15,8.246898651123046e-05
438,random_allocation,8,0.09,0.15,7.20977783203125e-05
439,random_allocation,8,0.1,0.15,7.59124755859375e-05
440,random_allocation,9,0.01,0.05,9.839534759521484e-05
441,random_allocation,9,0.02,0.05,0.00010213851928710937
442,random_allocation,9,0.03,0.05,0.00011103153228759765
443,random_allocation,9,0.04,0.05,0.00010864734649658203
444,random_allocation,9,0.05,0.05,0.00011271238327026367
445,random_allocation,9,0.06,0.05,0.0001092672348022461
446,random_allocation,9,0.07,0.05,0.03862729072570801
447,random_allocation,9,0.08,0.05,0.00011049509048461914
448,random_allocation,9,0.09,0.05,0.00010862350463867188
449,random_allocation,9,0.1,0.05,0.00011022090911865235
450,random_allocation,9,0.01,0.06,0.0001146554946899414
451,random_allocation,9,0.02,0.06,0.00010472536087036133
452,random_allocation,9,0.03,0.06,9.827613830566406e-05
453,random_allocation,9,0.04,0.06,0.00010544061660766602
454,random_allocation,9,0.05,0.06,0.00010175704956054688
455,random_allocation,9,0.06,0.06,0.00011147260665893555
456,random_allocation,9,0.07,0.06,9.961128234863282e-05
457,random_allocation,9,0.08,0.06,0.00011167526245117187
458,random_allocation,9,0.09,0.06,9.840726852416992e-05
459,random_allocation,9,0.1,0.06,0.00011670589447021484
460,random_allocation,9,0.01,0.07,0.00010846853256225586
461,random_allocation,9,0.02,0.07,0.00011278390884399414
462,random_allocation,9,0.03,0.07,0.00010710954666137695
463,random_allocation,9,0.04,0.07,0.00010178089141845703
464,random_allocation,9,0.05,0.07,0.00010447502136230468
465,random_allocation,9,0.06,0.07,0.00010409355163574219
466,random_allocation,9,0.07,0.07,9.648799896240234e-05
467,random_allocation,9,0.08,0.07,9.710788726806641e-05
468,random_allocation,9,0.09,0.07,0.00010106563568115234
469,random_allocation,9,0.1,0.07,9.769201278686523e-05
470,random_allocation,9,0.01,0.08,9.964704513549804e-05
471,random_allocation,9,0.02,0.08,0.00011008977890014648
472,random_allocation,9,0.03,0.08,0.00011419057846069336
473,random_allocation,9,0.04,0.08,0.00011769533157348632
